contract_id,summary,termination_clause,confidentiality_clause,liability_clause
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement2,"This Mutual Termination Agreement ends the Domain Name License Agreement that Beijing SINA and Shanghai SINA Leju had signed on May 8, 2008. By signing, both companies agree that, as of the execution date, the original contract is completely terminated and none of its terms continue to apply. The agreement is the entire understanding between the parties and can only be changed in writing signed by both sides. It is governed by Chinese law, can be signed in multiple copies, and binds each party and their successors. The main risk is that once signed, the original licensing rights and obligations cease, so any reliance on those rights after the termination date could lead to disputes or loss of benefits.","1. Beijing SINA and SINA Leju agree that, upon the date of execution of this Termination Agreement, the Agreement shall terminate and be of no further force or effect, and, for the avoidance of doubt, no provisions of the Original Agreement survive such termination.",NOT FOUND,NOT FOUND
WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT,"This Reseller Agreement lets Worldwide Strategies sell TouchStar’s call‑center software and support services in a defined territory on a non‑exclusive basis. TouchStar grants the reseller the right to market, distribute, and license the software, while retaining the ability to work with other customers and appoint additional distributors. The reseller must follow all legal requirements, obtain TouchStar’s written approval before using any third‑party ""Other Resellers,"" and ensure those parties comply with the agreement. The reseller is financially responsible for any unauthorized or illegal use of the software by its sub‑resellers, including reverse‑engineering or violations of export controls. Failure to meet these obligations could result in liability for damages and termination of the relationship.",NOT FOUND,NOT FOUND,"Reseller shall be responsible for all actions of Other Resellers with regard to the promotion, marketing, distribution, licensing and sale of TouchStar Software. Reseller shall be liable for any unauthorized or illegal use of the TouchStar Software by any Other Reseller, including, but not limited to, any actions or attempts to Reverse Engineer the TouchStar Software and any promotion, marketing, distribution, licensing or sale of the TouchStar Software in violation of Government Controls or other Legal Requirements."
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,"This Sponsorship Agreement sets out a relationship where Domini Social Investments LLC (the Sponsor) provides oversight, administrative and management services to the Domini Advisor Trust (the Trust). The Sponsor must maintain office facilities, supervise trustees, handle compliance filings, prepare meeting materials, and answer public inquiries, while the Trust pays all operating expenses and a fee of 0.50% of its average daily net assets to the Sponsor. The Sponsor’s liability is limited except for willful misconduct, bad faith, or gross negligence. Either party can end the agreement with at least 60 days’ written notice and no penalty. Risks include the Sponsor’s limited liability and the Trust’s responsibility for all expenses, which could be substantial.","6. Duration, Termination and Amendments of this Agreement. This Agreement shall become effective as of the day and year first above written and shall govern the relations between the parties hereto thereafter, unless terminated as set forth in this Section 6.

This Agreement may not be altered or amended, except by an instrument in writing and executed by both parties. This Agreement may be terminated at any time, without the payment of any penalty, with respect to any series or the Trust, by the Board of Trustees of the Trust, or by the Sponsor, in each case on not less than 60 days' written notice to the other party.",NOT FOUND,"4. Limitation of Liability of the Sponsor. The Sponsor shall not be liable for any error of judgment or mistake of law or for any act or omission in the oversight, administration or management of the Trust or the performance of its duties hereunder, except for willful misfeasance, bad faith or gross negligence in the performance of its duties, or by reason of the reckless disregard of its obligations and duties hereunder. As used in this Section 4, the term ""Sponsor"" shall include Domini and/or any of its affiliates and the directors, officers and employees of Domini and/or any of its affiliates."
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT,"This Distributor Agreement lets WatchGuard Technologies (WGT) appoint European Micro as a non‑exclusive reseller of its hardware‑software product package in a defined territory. WGT supplies the products at discounted prices and provides training and support; the distributor must meet guaranteed minimum purchase levels, keep inventory, market the products, provide reseller support, and report sales data. Either party can end the agreement for cause—such as breach of obligations, insolvency, or unauthorized assignments—or, after the initial term, with notice and a termination fee equal to 50% of any unpaid guaranteed purchases. Risks include the distributor’s liability for failing to meet purchase minimums (triggering liquidated damages) and the loss of rights to market and use WGT’s trademarks upon termination.","Section 5. Term and Termination.
5.1 Term. ...
5.2 Termination by WGT. Upon the occurrence of any of the following, WGT may terminate the Term by giving Distributor written notice of such termination for: (a) any failure of Distributor to comply with the marketing requirements under paragraph 4.1(b); (b) any material change in the general management, ownership or control of Distributor... (f) any failure by Distributor to perform any of its other obligations under this Agreement where such failure continues for thirty (30) days after written notice thereof by WGT to Distributor; or (g) WGT giving Distributor ninety (90) days' advance written notice of termination at any time after the expiration of the Initial Term.
5.3 Failure to Make Guaranteed Minimum Purchases. ... WGT may, at its sole option and effective upon notice to Distributor, terminate this Agreement. Distributor shall pay WGT fifty percent (50%) of the unpaid balance of cumulative Guaranteed Minimum Purchase amounts as liquidated damages.
5.4 Termination by Distributor. Upon the occurrence of any of the following, Distributor may terminate the Term by giving WGT written notice of such termination; (a) the insolvency of WGT... (b) any failure by WGT to perform any of its obligations... (c) for convenience ... Distributor pays to WGT a lump‑sum payment equal to fifty (50%) of the unpaid balance of cumulative Guaranteed Minimum Purchase amounts.
5.5 Effect of Termination. ... Distributor will: (a) immediately cease to demonstrate, market, sublicense and distribute the Product in the Territory; (b) cease use of all Trademarks of ...",NOT FOUND,NOT FOUND
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,FAILED,FAILED,FAILED,FAILED
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules,"This Maintenance and Support Agreement sets out the relationship between EuroTel (the customer) and Sicap Ltd (the service provider) for the SICAP® PPB, VCA, and OTA software modules. Sicap Ltd must provide a standard hotline, up to 20 hours of telephone support per month, remote assistance, and change‑management services, while EuroTel is responsible for first‑level fault tracing, training its staff, and supplying necessary logs and system access. EuroTel may request additional remote or on‑site support, which will be billed separately. Risks include extra charges for misuse, third‑party software bugs, and any support outside normal working hours. If Sicap Ltd cannot resolve an emergency within the stipulated time, it must dispatch staff on the next available flight or train, and EuroTel’s personnel must be on‑site to follow instructions.",NOT FOUND,NOT FOUND,NOT FOUND
RgcResourcesInc_20151216_8-K_EX-10.3_9372751_EX-10.3_Franchise Agreement,"This Gas Franchise Agreement lets the Town of Vinton give Roanoke Gas Company the right to build, operate, and maintain a gas distribution system in the town for 20 years starting Jan. 1, 2016. In return, the gas company must pay a franchise fee that is a share of a $98,196 base fee, calculated each year from its gas sales in Vinton and two neighboring cities, and the fee must be paid by March 31 of the following year. The company also must keep a staffed business office in Vinton at least 40 hours a week, follow nondiscrimination rules, and send any required notices by certified mail or courier. Failure to pay the fee on time, keep the office open, or comply with the nondiscrimination requirement could constitute a breach and expose the company to penalties or loss of the franchise.",NOT FOUND,NOT FOUND,NOT FOUND
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement,"This Manufacturing and Supply Agreement sets out the relationship between Pfizer (the Manufacturer) and Upjohn (the Customer) after their corporate separation. Pfizer agrees to produce and deliver pharmaceutical products to Upjohn for sale in the defined territory, while Upjohn commits to purchase those products, provide forecasts, and pay the agreed prices. Both parties must follow strict manufacturing, quality, environmental, and regulatory standards, maintain records, and protect each other's confidential information. Risks include potential termination for cause, breach of anti‑bribery rules, or insolvency, which could disrupt supply and trigger penalties. Liability is limited by the agreement’s indemnification and limitation provisions, meaning each side’s exposure to damages is capped and subject to insurance. Non‑compliance with quality or regulatory requirements could lead to product rejection, disposal costs, or legal liability.",NOT FOUND,NOT FOUND,NOT FOUND
PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT,"This Consulting Agreement sets out the relationship between Immunotolerance, Inc. and consultant Alan Crane. Crane will provide advisory services and, in return, receive a large block of company stock and reimbursement for approved expenses, but no employee benefits. The Company can end the agreement at any time for cause—such as repeated failure to perform, dishonesty, or criminal conviction—and must pay for services rendered up to termination; Crane can quit with 30 days' notice. Crane must keep all proprietary and confidential information secret, return all company materials, and assign any inventions related to the company's business to the Company. Risks include loss of the consulting role if cause is found, strict non‑disclosure obligations, and the assignment of potentially valuable inventions to the Company.","4. Termination. The Company may terminate the Consultation Period at any time for Cause (as defined below). In the event of such termination, the Consultant shall be entitled to payment hereunder and for expenses paid or incurred prior to the effective date of termination. Such payments shall constitute full settlement of any and all claims of the Consultant of every description against the Company. Notwithstanding the foregoing, the Company may terminate the Consultation Period effective immediately upon receipt of written notice by the Consultant, if the Consultant breaches or threatens to breach any provision of Section 6. For purposes of this Section 4, ""Cause"" shall exist in the event of (i) a good faith finding by the Board of Directors of the Company (A) of repeated and willful failure of the Consultant after written notice to perform his reasonable Services for the Company, or (B) that the Consultant has engaged in dishonesty, gross negligence or misconduct; or (ii) the conviction of the Consultant of, or the entry of a pleading of guilty or nolo contendere by the Consultant to, any crime involving moral turpitude or any felony. The Consultant may terminate the Consultation Period at any time upon thirty (30) days' written notice.","6.1 Proprietary Information.

(a) The Consultant acknowledges that Consultant's relationship with the Company is one of high trust and confidence and that in the course of Consultant's service to the Company, Consultant will have access to and contact with Proprietary Information. The Consultant will not disclose any Proprietary Information to any person or entity other than employees of the Company or use the same for any purposes (other than in the performance of the services) without written approval by an officer of the Company, either during or after the Consultation Period, unless and until such Proprietary Information has become public knowledge without fault by the Consultant.

(b) For purposes of this Agreement, Proprietary Information shall mean, by way of illustration and not limitation, all information, whether or not in writing, whether or not patentable and whether or not copyrightable, of a private, secret or confidential nature, owned, possessed or used by the Company, concerning the Company's business, business relationships or financial affairs, including, without limitation, any Invention, formula, vendor information, customer information, apparatus, equipment, trade secret, process, research, report, technical or research data, clinical data, know-how, computer program, software, software documentation, hardware design, technology, product, processes, methods, techniques, formulas, compounds, projects, developments, marketing or business plan, forecast, unpublished financial statement, budget, license, price, cost, customer, supplier or personnel information or employee list that is communicated to, learned of, developed or otherwise acquired by the Consultant in the course of Consultant's service as a consultant to the Company.

(c) The Consultant's obligations under this Section 6.1 shall not apply to any information that (i) is or becomes known to the general public under circumstances involving no breach by the Consultant or others of the terms of this Section 6.1, (ii) is generally disclosed to third parties by the Company without restriction on such third parties, or (iii) is approved for release by written authorization of an officer of the Company.

(d) The Consultant agrees that all files, documents, letters, memoranda, reports, records, data, sketches, drawings, models, laboratory notebooks, program listings, computer equipment or devices, computer programs or other written, photographic, or other tangible material containing Proprietary Information, whether created by the Consultant or others, which shall come into Consultant's custody or possession, shall be and are the exclusive property of the Company to be used by the Consultant only in the performance of Consultant's duties for the Company and shall not be copied or removed from the Company premises except in the pursuit of the business of the Company. All such materials or copies thereof and all tangible property of the Company in the custody or possession of the Consultant shall be delivered to the Company, upon the earlier of (i) a request by the Company or (ii) the termination of this Agreement. After such delivery, the Consultant shall not retain any such materials or copies thereof or any such tangible property.

(e) The Consultant agrees that Consultant's obligation not to disclose or to use information and materials of the types set forth in paragraphs (b) and (d) above, and Consultant's obligation to return materials and tangible property set forth in paragraph (d) above extends to such types of information, materials and tangible property of customers of the Company or suppliers to the Company or other third parties who may have disclosed or entrusted the same to the Company or to the Consultant.

(f) The Consultant acknowledges that the Company from time to time may have agreements with other persons or with the United States Government, or agencies thereof, that impose obligations or restrictions on the Company regarding inventions made during the course of work under such agreements or regarding the confidential nature of such work. The Consultant agrees to be bound by all such obligations and restrictions that are known to Consultant and to take all action necessary to discharge the obligations of the Company under such agreements.",NOT FOUND
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,"This agreement creates a five‑year, renewable partnership between T&B Seminars (owner of Tarek El Moussa’s name, image and related intellectual property) and Legacy Education Alliance (LEA) to develop and run a branded real‑estate education business. T&B grants LEA an exclusive worldwide license to use its intellectual property to create educational materials and run seminars, while LEA handles marketing, event planning, sales, and delivery of the products. Both parties must keep each other's confidential information private and share any improvements to the IP. T&B can terminate early if LEA fails to meet sales benchmarks, and either side can end the contract with 90‑day notice at the end of each five‑year term. Risks include loss of the license if sales targets aren’t met and potential disputes over ownership of jointly created work product.","The term ""Term"" shall mean an initial term of five years, automatically renewable thereafter for successive 5-year terms unless either party provides prior written notice of termination not less than 90 days prior to the end of such five-year term; provided, however, T&B shall have the right to terminate the license after the first year of the Term if LEA does not conduct the Business so as to meet the Cash Sales benchmarks set by the parties for years two through five of the Term, as set forth in Section 3.3, below.","The term ""Confidential Information"" means any and all information which is not readily ascertainable by proper means and which derives economic value, actual or potential from not being generally known and which has been the subject of efforts that are reasonable under the circumstances to maintain its secrecy. All information relating to the products or operations of a party, which is provided to the other party, or to which the other party otherwise obtains access, pursuant to, or as a result of, this Agreement shall be treated as Confidential Information hereunder, except such information which the other party can clearly show: (a) at the time of this Agreement is publicly and openly known; (b) after the date of this Agreement becomes publicly and openly known through no fault of the other party; (c) comes into the other party's possession and lawfully obtained by the other party from a source other than from the party or a source deriving from the party, and not subject to any obligation of confidentiality or restrictions on use; or (d) is approved for release by written authorization of the other party",NOT FOUND
TICKETSCOMINC_06_22_1999-EX-10.22-SPONSORSHIP AGREEMENT,"This Sponsorship Agreement lets Tickets.com become MP3.com’s exclusive source for ticket sales, with MP3.com displaying a small Tickets portal on several music genre pages. MP3.com must deliver at least 3 million portal impressions each month, and Tickets must pay a series of scheduled sponsor fees, with a 1.5% monthly late‑payment charge. Tickets can end the deal with 30‑day notice before the 60‑day mark, and may renew for a second year under limited fee increases. Both parties warrant their sites won’t infringe rights or contain illegal content and must indemnify each other for breaches. Liability is limited: neither side is responsible for special or consequential damages, except for indemnification claims. Risks include missed impression targets, late payments, and potential disputes over impression counts.","This Agreement shall commence on the Effective Date and shall remain in full force and effect until one (1) year subsequent to the Effective Date, provided however, that Tickets may terminate this Agreement for any reason upon thirty (30) days' notice to MP3. com at any time prior to the expiration of sixty (60) days subsequent to the Effective Date. Furthermore, for a thirty (30) day period, beginning thirty (30) days prior to the first anniversary of this Agreement, Tickets shall have the right to renew the Agreement for another year with Sponsor Fees that do not exceed a [***] percent increase over the existing Sponsor Fees. Any payments which have accrued prior to the date of termination shall remain due and payable. Sections 6, 7, and 8 shall survive termination of this agreement.",NOT FOUND,"No Consequential Damages. Except for claims arising under section 6, in no event will either party be liable for any special, indirect, incidental or consequential damages."
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,"This Intellectual Property Agreement, dated December 31, 2018, governs the transfer and licensing of intellectual property between Arizona (the seller/licensor) and the Company (the buyer/licensee) in connection with a prior Stock Purchase Agreement. Arizona assigns all of its ""Arizona Assigned IP"" to the Company and must cooperate to record and perfect that ownership. In return, each party grants the other a perpetual, royalty‑free, non‑exclusive license to use the other’s licensed copyrights, know‑how, patents and certain trademarks in the opposite party’s field of business. Trademark licenses are limited in time (24 months for Arizona‑licensed marks, 18 months for Diamond marks) and are non‑sublicensable and non‑assignable, with strict quality‑control requirements to protect goodwill. Risks include breaching quality‑control standards, which could damage the reputation of the trademarks and trigger remedial actions, and the limited term of trademark use, which may require renegotiation.",NOT FOUND,NOT FOUND,NOT FOUND
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT,"This Reseller Agreement lets Diversinet grant the Reseller an exclusive right to market and sell Diversinet’s security products in Canada, provided the Reseller meets an annual minimum purchase commitment and follows strict marketing, branding, and reporting rules. Diversinet must deliver the products on time and provide documentation, while the Reseller must obtain customer agreements, pay all invoices within 30 days, and protect Diversinet’s trademarks. The agreement runs for five years and auto‑renews yearly unless either side gives notice. Either party can terminate for non‑payment, material breach, or if the Reseller stops operating, with a 30‑day notice (or 60 days for breach cure). Upon termination, the Reseller must cease using the products, pay any outstanding amounts, destroy all product copies, and certify compliance. Risks include loss of exclusive rights, hefty late‑payment interest, and a mandatory 18‑month phase‑out period.","4. Termination (a) Either Party may terminate this Agreement: (i) Upon thirty (30) days' written notice to Reseller if Reseller fails to make any AMC payment when due under this Agreement, or when an audit, as set out in Section 13, by Diversinet reveals any under-payment for any payment due, and it is not paid within the thirty (30) day written notice period; (ii) providing thirty (60) days' written notice to the other Party if the other Party breaches any material term or condition of this Agreement, and fails to cure such breach within the 60 day period; (iii) upon providing thirty (30) days' written notice to Reseller if Reseller terminates the provisions of the Annual Minimum Commitment and fails to meet the sales targets as set out in Schedule 3. (b) This Agreement shall terminate automatically without notice and without further action by Diversinet in the event that:

(i) Reseller ceases carrying on its business, or if a petition shall be filed, an order shall be made or an effective resolution is passed for the winding-up, dissolution or liquidation of Reseller. (c) Termination under Subsection 4(a) shall trigger a phase-out period during which Reseller may continue to provide products and services to Customers. Such phase-out period shall be the longer of (i) the remaining term of the agreement between the Reseller and its Customers, and (ii) 18 months. (d) Upon the termination of this Agreement for any reason: (1) all rights granted to Reseller hereunder shall automatically come to an end and revert to Diversinet, including without limitation any right to use, operate and provide customer service or support for the Products; (2) Reseller shall immediately pay to Diversinet all amounts due and outstanding hereunder as of the date of such termination or expiration; and (3) within five (5) days of termination of this Agreement, for whatever reason, Reseller, must: (a) destroy all copies of the Products and any associated Products documentation in its possession or under its direct control; and (b) deliver to Diversinet a written certificate warranting that it has complied with the foregoing obligations.",NOT FOUND,NOT FOUND
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement,"This Strategic Alliance Agreement sets up a partnership between Freedom Mortgage and its new affiliate Cherry Hill. Freedom Mortgage will originate and service mortgage loans, while Cherry Hill will provide capital and eventually operate as a real‑estate investment trust. The parties must execute several ancillary agreements—including an Acknowledgement Agreement with Ginnie Mae, a Purchase Agreement for excess mortgage‑servicing rights, and a Flow Agreement for loan sales—before the closing date. Freedom Mortgage is responsible for obtaining any needed permits, maintaining its financial thresholds, and covering costs related to designating a standby issuer if trigger events occur. Cherry Hill must cooperate with revisions to the Acknowledgement Agreement and will be indemnified against losses if Ginnie Mae terminates Freedom Mortgage’s issuer status. Risks include potential breach of financial covenants, trigger events that could force standby arrangements, and the need to meet regulatory approvals.",NOT FOUND,NOT FOUND,NOT FOUND
